0,0.001392,0.000979,-0.003437,0.498163,-5.233665,-25.523393,0.044312,-0.009888,0.004761,1.545164,-0.965924,-23.900157
0.005,0.001001,0.000716,-0.003339,0.495035,-5.23444,-23.435315,0.044481,-0.010778,0.004549,1.542008,-0.982517,-23.819171
0.01,0.000708,0.000775,-0.00324,0.463698,-5.242574,-21.330329,0.045175,-0.009708,0.004471,1.538348,-0.998322,-23.506598
0.015,0.000445,0.000886,-0.003125,0.437442,-5.253479,-19.21905,0.045943,-0.008366,0.004431,1.536234,-1.014993,-23.140776
0.02,0.000205,0.000985,-0.002991,0.413316,-5.269486,-17.113093,0.04668,-0.006946,0.004397,1.536387,-1.032299,-22.746386
0.025,0.000005,0.001067,-0.002796,0.431521,-5.272939,-15.024931,0.047358,-0.00546,0.004363,1.539432,-1.051146,-22.337746
0.03,-0.000108,0.001131,-0.002451,0.562725,-5.234722,-12.967723,0.047955,-0.003913,0.004335,1.546214,-1.072163,-21.918946
0.035,-0.000074,0.001146,-0.002048,0.701242,-5.189156,-10.955102,0.04846,-0.002302,0.00432,1.556401,-1.096163,-21.484081
0.04,0.000142,0.001108,-0.001677,0.768323,-5.162832,-9.000941,0.048871,-0.000629,0.004319,1.56922,-1.124912,-21.024556
0.045,0.000537,0.001056,-0.001349,0.766076,-5.158179,-7.119094,0.049189,0.001091,0.004332,1.584631,-1.159921,-20.524939
0.05,0.001102,0.001014,-0.001024,0.741093,-5.16507,-5.323134,0.049424,0.002831,0.004376,1.602831,-1.2011,-19.974635
0.055,0.001786,0.000989,-0.00068,0.739855,-5.175928,-3.626081,0.049574,0.00454,0.004462,1.623628,-1.246428,-19.377948
0.06,0.002423,0.000973,-0.000419,0.68808,-5.206984,-2.040137,0.049632,0.006149,0.004588,1.646302,-1.294846,-18.75887
0.065,0.002852,0.000953,-0.000177,0.668406,-5.245542,-0.576435,0.04961,0.007558,0.004748,1.670729,-1.345035,-18.138692
0.07,0.00304,0.000919,0.000011,0.632007,-5.297519,0.755197,0.049536,0.008746,0.00494,1.696277,-1.395779,-17.532976
0.075,0.003022,0.000855,0.000074,0.487456,-5.367661,1.946439,0.049434,0.009732,0.00515,1.721224,-1.446156,-16.949705
0.08,0.002894,0.000779,0.00011,0.34344,-5.440452,2.99066,0.049325,0.010541,0.005363,1.745181,-1.495569,-16.391773
0.085,0.002692,0.000688,0.000069,0.137693,-5.515476,3.883048,0.04922,0.011198,0.005569,1.766942,-1.54364,-15.861037
0.09,0.002498,0.000605,0.00007,0.01085,-5.58296,4.620707,0.049125,0.011716,0.005756,1.787076,-1.590083,-15.358199
0.095,0.00231,0.000524,0.000043,-0.122296,-5.645727,5.202702,0.049048,0.012107,0.005919,1.805005,-1.634836,-14.884138
0.1,0.002147,0.000456,0.00002,-0.219675,-5.70175,5.630046,0.048993,0.012376,0.006054,1.820805,-1.677843,-14.439519
0.105,0.00199,0.000394,-0.000061,-0.351805,-5.750732,5.905649,0.048962,0.012531,0.006158,1.833661,-1.719134,-14.024651
0.11,0.001891,0.000361,-0.000068,-0.370321,-5.789519,6.034198,0.048957,0.012572,0.006227,1.844774,-1.758781,-13.638421
0.115,0.001832,0.000341,-0.000064,-0.352153,-5.818358,6.022003,0.048976,0.012504,0.006261,1.854135,-1.796818,-13.280681
0.12,0.00178,0.000322,-0.000099,-0.354704,-5.834089,5.876792,0.049022,0.012325,0.006265,1.861044,-1.833236,-12.952167
0.125,0.001715,0.000305,-0.000196,-0.404026,-5.83483,5.607472,0.049085,0.012047,0.00624,1.864524,-1.867947,-12.65462
0.13,0.001736,0.000342,-0.000178,-0.308574,-5.821025,5.223871,0.049156,0.011706,0.006191,1.866207,-1.900982,-12.38472
0.135,0.001859,0.000431,-0.000155,-0.197955,-5.807607,4.736454,0.049222,0.011355,0.006128,1.865928,-1.93231,-12.138289
0.14,0.002125,0.000589,-0.000106,-0.038936,-5.812145,4.156054,0.049276,0.01103,0.006062,1.86437,-1.96208,-11.910956
0.145,0.00248,0.000771,-0.000097,0.099756,-5.854542,3.493599,0.049323,0.010703,0.005995,1.86126,-1.990291,-11.703561
0.15,0.002891,0.000953,-0.000028,0.321074,-5.931045,2.759877,0.049373,0.010316,0.00592,1.857595,-2.017065,-11.519085
0.155,0.003269,0.001092,0.000037,0.532705,-6.029418,1.965323,0.049431,0.009826,0.005837,1.852706,-2.042222,-11.364838
0.16,0.003574,0.001187,0.000082,0.705313,-6.127534,1.119855,0.049489,0.009231,0.005743,1.845514,-2.065444,-11.245992
0.165,0.003799,0.001244,0.000057,0.779307,-6.217924,0.232761,0.049542,0.008559,0.005645,1.834432,-2.08643,-11.165063
0.17,0.004011,0.001297,0.000083,0.909309,-6.281903,-0.687363,0.04958,0.007843,0.00554,1.820417,-2.105253,-11.120477
0.175,0.004197,0.001326,0.000011,0.92864,-6.3556,-1.632633,0.049603,0.007108,0.005435,1.802061,-2.121721,-11.115617
0.18,0.004395,0.001355,-0.000021,1.010276,-6.425223,-2.595834,0.049608,0.006358,0.005327,1.780715,-2.136216,-11.152559
0.185,0.004597,0.001367,-0.000087,1.065354,-6.515558,-3.570352,0.049597,0.005599,0.005221,1.756435,-2.148867,-11.230561
0.19,0.00481,0.001381,-0.000103,1.195439,-6.611297,-4.550071,0.049567,0.004838,0.005112,1.730691,-2.159723,-11.345492
0.195,0.005022,0.001378,-0.000188,1.254793,-6.749959,-5.529245,0.04952,0.00408,0.005007,1.702881,-2.168371,-11.491549
0.2,0.005225,0.00136,-0.000168,1.453308,-6.876947,-6.502377,0.049449,0.003292,0.004899,1.67553,-2.175108,-11.661573
0.205,0.005427,0.001305,-0.000198,1.586371,-7.045864,-7.464091,0.04936,0.002494,0.004797,1.64788,-2.179076,-11.84806
0.21,0.005617,0.001247,-0.000168,1.784409,-7.224813,-8.409032,0.049253,0.001695,0.004705,1.621014,-2.179287,-12.046877
0.215,0.005792,0.001184,-0.000078,2.035449,-7.408567,-9.331784,0.049127,0.000898,0.004625,1.595848,-2.175478,-12.255321
0.22,0.005949,0.001114,0.000036,2.294989,-7.602277,-10.226826,0.048981,0.000112,0.004556,1.572805,-2.167536,-12.469246
0.225,0.006079,0.001037,0.000193,2.602859,-7.785648,-11.088525,0.048814,-0.000665,0.004493,1.552912,-2.155561,-12.687987
0.23,0.006279,0.000975,0.000342,2.918273,-7.944251,-11.911169,0.048649,-0.000971,0.004557,1.572689,-2.129531,-13.025529
0.235,0.006595,0.00093,0.000447,3.194931,-8.069224,-12.689031,0.048533,-0.000914,0.004789,1.636445,-2.098611,-13.543031
0.24,0.006929,0.000877,0.000534,3.434257,-8.165898,-13.416469,0.048444,-0.000916,0.00503,1.710501,-2.082638,-14.108491
0.245,0.007219,0.000817,0.000606,3.629589,-8.248217,-14.088053,0.04836,-0.001011,0.005196,1.800683,-2.074423,-14.691344
0.25,0.007465,0.000761,0.000656,3.781745,-8.323692,-14.698699,0.048281,-0.001123,0.005294,1.895261,-2.072744,-15.297479
